epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,2780.09,1.54481,0.75786,0.00487,0.79624,0.73571,0.74998,0.3546,1.88415,1.01994,0.00665,0.0009044,0.0009044,0.0009044
168,2797.39,1.52759,0.7296,0.00474,0.78683,0.75185,0.75893,0.37106,1.87806,0.99616,0.00657,0.0008978,0.0008978,0.0008978
169,2814.94,1.47256,0.72987,0.00456,0.80916,0.75857,0.76866,0.37421,1.87037,1.02525,0.0065,0.0008912,0.0008912,0.0008912
170,2833.18,1.47675,0.73007,0.0045,0.8035,0.73974,0.75799,0.36965,1.85842,1.00454,0.00646,0.0008846,0.0008846,0.0008846
171,2849.98,1.51622,0.75131,0.00456,0.8083,0.74574,0.77821,0.37396,1.87933,0.99852,0.00652,0.000878,0.000878,0.000878
172,2868.15,1.48254,0.72845,0.00473,0.81157,0.7505,0.76562,0.3629,1.87098,1.00874,0.00646,0.0008714,0.0008714,0.0008714
173,2885.15,1.52341,0.74878,0.00445,0.80345,0.74224,0.76822,0.37494,1.83199,1.02617,0.00633,0.0008648,0.0008648,0.0008648
174,2902.78,1.50593,0.71677,0.00441,0.80975,0.74983,0.77515,0.38169,1.85077,0.97282,0.00645,0.0008582,0.0008582,0.0008582
175,2922.46,1.48575,0.74184,0.00448,0.78425,0.73638,0.75777,0.36885,1.8675,1.00111,0.00647,0.0008516,0.0008516,0.0008516
176,2939.9,1.45721,0.71736,0.00472,0.80783,0.74916,0.76497,0.36902,1.87191,0.97486,0.00652,0.000845,0.000845,0.000845
177,2956.83,1.46112,0.69436,0.00435,0.80138,0.74042,0.77054,0.37816,1.85251,1.00791,0.00641,0.0008384,0.0008384,0.0008384
178,2975.47,1.52043,0.73506,0.00472,0.79698,0.74109,0.76893,0.37555,1.88466,1.00211,0.00659,0.0008318,0.0008318,0.0008318
179,2993.08,1.45712,0.70842,0.00457,0.79298,0.75732,0.77348,0.37665,1.86219,0.99433,0.00648,0.0008252,0.0008252,0.0008252
180,3011.27,1.4883,0.73038,0.00461,0.7885,0.74713,0.76743,0.37565,1.86702,1.02195,0.0065,0.0008186,0.0008186,0.0008186
181,3028.17,1.49938,0.72144,0.00448,0.83217,0.73359,0.7714,0.36962,1.8845,1.04101,0.00655,0.000812,0.000812,0.000812
