Ep 9 | B 60 | Src:11.13 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 70 | Src:10.49 | Psd:8.73 | PLs:2 | AvgC:0.788 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 80 | Src:10.65 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 90 | Src:10.36 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 10 | B 0 | Src:11.54 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 10 | Src:13.75 | Psd:22.39 | PLs:1 | AvgC:0.771 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 20 | Src:8.88 | Psd:18.23 | PLs:2 | AvgC:0.777 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 30 | Src:10.42 | Psd:15.76 | PLs:1 | AvgC:0.738 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 40 | Src:13.35 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 50 | Src:7.63 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 60 | Src:16.66 | Psd:19.81 | PLs:1 | AvgC:0.741 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 70 | Src:8.82 | Psd:18.24 | PLs:1 | AvgC:0.763 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 80 | Src:11.38 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 90 | Src:11.26 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 11 | B 0 | Src:9.04 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 10 | Src:12.97 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 20 | Src:12.76 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 30 | Src:14.71 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 40 | Src:13.90 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 50 | Src:10.84 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 60 | Src:10.75 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 70 | Src:11.55 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 80 | Src:13.35 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 90 | Src:9.30 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 12 | B 0 | Src:10.75 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 10 | Src:11.47 | Psd:31.36 | PLs:1 | AvgC:0.866 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 20 | Src:8.61 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 30 | Src:15.02 | Psd:22.53 | PLs:1 | AvgC:0.796 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 40 | Src:13.70 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 50 | Src:11.22 | Psd:14.13 | PLs:3 | AvgC:0.766 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 60 | Src:11.84 | Psd:9.47 | PLs:1 | AvgC:0.852 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 70 | Src:10.31 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 80 | Src:7.84 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 90 | Src:12.23 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 13 | B 0 | Src:12.68 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 10 | Src:12.58 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 20 | Src:11.20 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 30 | Src:12.20 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 40 | Src:11.76 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 50 | Src:9.70 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 60 | Src:10.92 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 70 | Src:10.45 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 80 | Src:8.07 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 90 | Src:10.41 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 14 | B 0 | Src:10.80 | Psd:28.03 | PLs:1 | AvgC:0.774 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 10 | Src:14.04 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 20 | Src:11.66 | Psd:39.69 | PLs:1 | AvgC:0.838 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 30 | Src:10.75 | Psd:8.41 | PLs:3 | AvgC:0.791 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 40 | Src:8.23 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 50 | Src:10.91 | Psd:3.43 | PLs:1 | AvgC:0.719 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 60 | Src:13.67 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 70 | Src:12.33 | Psd:4.97 | PLs:3 | AvgC:0.951 | λ:0.035 | Conf:0.70 | LR:9.53e-05
