               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 153,            0.048434,            0.018742,                   0,             0.84972,             0.74095,             0.81201,             0.39933,            0.045421,            0.017298,                   0,             0.00544,             0.00544,             0.00544
                 154,            0.048359,            0.019107,                   0,             0.83967,              0.7422,             0.80198,             0.40112,            0.045775,            0.017507,                   0,             0.00541,             0.00541,             0.00541
                 155,            0.048094,              0.0208,                   0,             0.85175,             0.73908,             0.80639,             0.40984,            0.044963,            0.017531,                   0,             0.00538,             0.00538,             0.00538
                 156,            0.047043,            0.018094,                   0,             0.83127,             0.76342,             0.81474,             0.40954,            0.044959,            0.017399,                   0,             0.00535,             0.00535,             0.00535
                 157,            0.048701,            0.019129,                   0,             0.82611,             0.76654,             0.81472,             0.40724,            0.045597,            0.017238,                   0,             0.00532,             0.00532,             0.00532
                 158,            0.047504,            0.019025,                   0,             0.84186,             0.75218,             0.80928,             0.39847,            0.045573,            0.017431,                   0,             0.00529,             0.00529,             0.00529
                 159,            0.049104,             0.01894,                   0,              0.8499,             0.76092,             0.82166,             0.40971,            0.045169,            0.017136,                   0,             0.00526,             0.00526,             0.00526
                 160,            0.048229,            0.019175,                   0,             0.84727,             0.73034,             0.79906,             0.39954,            0.045894,            0.017978,                   0,             0.00523,             0.00523,             0.00523
                 161,            0.048929,            0.017526,                   0,             0.84369,             0.73658,             0.80465,             0.39863,            0.045302,             0.01728,                   0,              0.0052,              0.0052,              0.0052
                 162,            0.048295,            0.019748,                   0,             0.83975,             0.74252,             0.80963,             0.40453,            0.045297,            0.017105,                   0,             0.00517,             0.00517,             0.00517
                 163,            0.047796,            0.017927,                   0,             0.83992,             0.74673,             0.79545,             0.39329,            0.045751,             0.01765,                   0,             0.00514,             0.00514,             0.00514
                 164,            0.048572,            0.020716,                   0,             0.83474,             0.73779,             0.79797,             0.39166,            0.045453,            0.017323,                   0,             0.00511,             0.00511,             0.00511
                 165,            0.048136,            0.017904,                   0,             0.83542,             0.74282,             0.80374,             0.40511,            0.045631,            0.017431,                   0,             0.00508,             0.00508,             0.00508
                 166,            0.046304,             0.01937,                   0,             0.84211,             0.74282,              0.8049,             0.40161,            0.045255,            0.017791,                   0,             0.00505,             0.00505,             0.00505
                 167,            0.050126,            0.019536,                   0,             0.84194,             0.74594,             0.81023,             0.39855,            0.045164,            0.017383,                   0,             0.00502,             0.00502,             0.00502
