Ep 11 | B 70 | Src:13.73 | Psd:11.62 | PLs:13 | AvgC:0.701 | λ:0.011 | Conf:0.48 | LR:9.71e-05
Ep 11 | B 80 | Src:10.11 | Psd:9.22 | PLs:3 | AvgC:0.798 | λ:0.011 | Conf:0.48 | LR:9.71e-05
Ep 11 | B 90 | Src:14.03 | Psd:10.09 | PLs:27 | AvgC:0.723 | λ:0.011 | Conf:0.48 | LR:9.71e-05
Ep 12 | B 0 | Src:13.35 | Psd:9.79 | PLs:22 | AvgC:0.688 | λ:0.022 | Conf:0.48 | LR:9.65e-05
Ep 12 | B 10 | Src:8.56 | Psd:8.61 | PLs:2 | AvgC:0.774 | λ:0.022 | Conf:0.48 | LR:9.65e-05
Ep 12 | B 20 | Src:9.75 | Psd:8.12 | PLs:5 | AvgC:0.801 | λ:0.022 | Conf:0.48 | LR:9.65e-05
Ep 12 | B 30 | Src:10.00 | Psd:12.83 | PLs:6 | AvgC:0.792 | λ:0.022 | Conf:0.48 | LR:9.65e-05
Ep 12 | B 40 | Src:9.10 | Psd:8.46 | PLs:17 | AvgC:0.743 | λ:0.022 | Conf:0.48 | LR:9.65e-05
Ep 12 | B 50 | Src:8.45 | Psd:10.04 | PLs:18 | AvgC:0.613 | λ:0.022 | Conf:0.48 | LR:9.65e-05
Ep 12 | B 60 | Src:8.56 | Psd:8.42 | PLs:6 | AvgC:0.612 | λ:0.022 | Conf:0.48 | LR:9.65e-05
Ep 12 | B 70 | Src:14.65 | Psd:12.21 | PLs:4 | AvgC:0.591 | λ:0.022 | Conf:0.48 | LR:9.65e-05
Ep 12 | B 80 | Src:9.83 | Psd:7.82 | PLs:12 | AvgC:0.780 | λ:0.022 | Conf:0.48 | LR:9.65e-05
Ep 12 | B 90 | Src:12.77 | Psd:10.39 | PLs:31 | AvgC:0.756 | λ:0.022 | Conf:0.48 | LR:9.65e-05
