Ep 30 | B 60 | Src:15.2603 | Psd:36.8809 | PLs:27 | LR:4.38e-05
Ep 30 | B 70 | Src:7.6440 | Psd:40.6952 | PLs:27 | LR:4.37e-05
Ep 30 | B 80 | Src:11.0424 | Psd:24.6160 | PLs:25 | LR:4.36e-05
Ep 31 | B 0 | Src:9.0313 | Psd:19.5170 | PLs:24 | LR:4.36e-05
Ep 31 | B 10 | Src:10.5152 | Psd:32.2588 | PLs:27 | LR:4.35e-05
Ep 31 | B 20 | Src:11.8977 | Psd:20.2933 | PLs:24 | LR:4.34e-05
Ep 31 | B 30 | Src:7.6609 | Psd:29.3608 | PLs:27 | LR:4.34e-05
Ep 31 | B 40 | Src:8.9926 | Psd:25.7977 | PLs:25 | LR:4.33e-05
Ep 31 | B 50 | Src:8.3760 | Psd:30.5328 | PLs:25 | LR:4.32e-05
Ep 31 | B 60 | Src:9.2413 | Psd:29.6897 | PLs:26 | LR:4.32e-05
Ep 31 | B 70 | Src:9.2849 | Psd:24.4310 | PLs:25 | LR:4.31e-05
Ep 31 | B 80 | Src:10.7783 | Psd:20.2804 | PLs:25 | LR:4.30e-05
Ep 32 | B 0 | Src:13.7702 | Psd:23.1328 | PLs:24 | LR:4.30e-05
Ep 32 | B 10 | Src:19.5571 | Psd:23.6063 | PLs:26 | LR:4.29e-05
Ep 32 | B 20 | Src:10.2439 | Psd:25.3509 | PLs:24 | LR:4.28e-05
