Ep 16 | B 10 | Src:8.55 | Psd:62.08 | PLs:28 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 20 | Src:10.40 | Psd:56.22 | PLs:26 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 30 | Src:12.07 | Psd:50.97 | PLs:27 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 40 | Src:11.58 | Psd:53.18 | PLs:28 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 50 | Src:11.41 | Psd:56.84 | PLs:28 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 60 | Src:12.20 | Psd:56.00 | PLs:29 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 70 | Src:10.04 | Psd:55.45 | PLs:31 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 80 | Src:10.34 | Psd:53.15 | PLs:32 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 90 | Src:12.75 | Psd:58.18 | PLs:30 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 17 | B 0 | Src:10.67 | Psd:55.40 | PLs:30 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 10 | Src:11.01 | Psd:52.63 | PLs:27 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 20 | Src:12.79 | Psd:54.47 | PLs:32 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 30 | Src:21.64 | Psd:54.49 | PLs:29 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 40 | Src:12.49 | Psd:53.84 | PLs:28 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 50 | Src:11.48 | Psd:53.21 | PLs:30 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 60 | Src:12.86 | Psd:52.84 | PLs:27 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 70 | Src:11.64 | Psd:55.73 | PLs:25 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 80 | Src:9.96 | Psd:53.63 | PLs:29 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 90 | Src:12.08 | Psd:52.74 | PLs:30 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 18 | B 0 | Src:10.19 | Psd:51.39 | PLs:24 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 10 | Src:13.12 | Psd:56.68 | PLs:28 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 20 | Src:16.01 | Psd:44.53 | PLs:28 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 30 | Src:14.33 | Psd:47.21 | PLs:25 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 40 | Src:8.11 | Psd:58.77 | PLs:23 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 50 | Src:7.96 | Psd:53.27 | PLs:28 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 60 | Src:12.90 | Psd:54.48 | PLs:27 | λ:0.045 | Conf:0.70 | LR:9.23e-05
