epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
149,12327.9,0.54494,0.47793,0.09457,0.74603,0.73302,0.74357,0.34065,0.61916,0.48589,0.12231,5.116e-05,5.116e-05,5.116e-05
150,12410.6,0.53518,0.46596,0.08804,0.76062,0.72866,0.7469,0.34612,0.60961,0.48388,0.11888,5.083e-05,5.083e-05,5.083e-05
151,12494.1,0.55036,0.45074,0.09695,0.76367,0.72898,0.74206,0.34217,0.62131,0.47561,0.12301,5.05e-05,5.05e-05,5.05e-05
152,12576.8,0.54211,0.45845,0.10115,0.75222,0.74983,0.74885,0.34174,0.61214,0.47358,0.12106,5.017e-05,5.017e-05,5.017e-05
153,12658.8,0.52074,0.45306,0.0946,0.73409,0.75387,0.74311,0.34448,0.62017,0.48769,0.12284,4.984e-05,4.984e-05,4.984e-05
154,12741.3,0.53005,0.45477,0.09538,0.75804,0.72428,0.74157,0.34323,0.62419,0.47967,0.12406,4.951e-05,4.951e-05,4.951e-05
155,12823.4,0.53891,0.45807,0.09619,0.72255,0.75656,0.73972,0.34272,0.61901,0.49075,0.12417,4.918e-05,4.918e-05,4.918e-05
156,12906,0.50666,0.45185,0.09067,0.76086,0.72898,0.74136,0.34068,0.62671,0.48136,0.12492,4.885e-05,4.885e-05,4.885e-05
157,12988.5,0.53193,0.4531,0.09028,0.76215,0.7262,0.73916,0.34869,0.61114,0.48408,0.11981,4.852e-05,4.852e-05,4.852e-05
158,13072.3,0.54046,0.43842,0.10102,0.75892,0.72402,0.74068,0.34762,0.61511,0.48519,0.12086,4.819e-05,4.819e-05,4.819e-05
159,13154.6,0.51396,0.44847,0.09021,0.74251,0.74378,0.73885,0.34292,0.62044,0.48874,0.12043,4.786e-05,4.786e-05,4.786e-05
160,13237.2,0.5184,0.45824,0.09203,0.74748,0.73854,0.73495,0.34016,0.62429,0.4876,0.12137,4.753e-05,4.753e-05,4.753e-05
161,13319.7,0.52815,0.44796,0.1012,0.76228,0.7384,0.74018,0.34664,0.62163,0.4806,0.12018,4.72e-05,4.72e-05,4.72e-05
162,13402.3,0.51796,0.43973,0.09202,0.75343,0.74042,0.74659,0.35037,0.61413,0.48268,0.11855,4.687e-05,4.687e-05,4.687e-05
163,13485.6,0.5513,0.43965,0.09492,0.7581,0.72629,0.73671,0.34314,0.61977,0.47397,0.12073,4.654e-05,4.654e-05,4.654e-05
164,13567.6,0.49778,0.43858,0.08877,0.75583,0.73167,0.74149,0.3437,0.63156,0.47221,0.12654,4.621e-05,4.621e-05,4.621e-05
165,13649.7,0.52513,0.44793,0.087,0.76337,0.72629,0.73886,0.34135,0.6253,0.47197,0.12509,4.588e-05,4.588e-05,4.588e-05
166,13732.3,0.53565,0.4453,0.09049,0.76006,0.72217,0.7405,0.34625,0.61593,0.46897,0.12066,4.555e-05,4.555e-05,4.555e-05
167,13814.5,0.522,0.44998,0.08723,0.78032,0.71419,0.74138,0.34299,0.62143,0.4702,0.12455,4.522e-05,4.522e-05,4.522e-05
