Ep 18 | B 80 | Src:15.91 | Psd:47.78 | PLs:19 | λ:0.090 | Conf:0.66 | LR:9.23e-05
Ep 18 | B 90 | Src:12.34 | Psd:53.91 | PLs:23 | λ:0.090 | Conf:0.66 | LR:9.23e-05
Ep 19 | B 0 | Src:11.60 | Psd:52.66 | PLs:21 | λ:0.095 | Conf:0.66 | LR:9.14e-05
Ep 19 | B 10 | Src:15.90 | Psd:53.42 | PLs:22 | λ:0.095 | Conf:0.66 | LR:9.14e-05
Ep 19 | B 20 | Src:18.26 | Psd:55.22 | PLs:27 | λ:0.095 | Conf:0.66 | LR:9.14e-05
Ep 19 | B 30 | Src:9.79 | Psd:54.62 | PLs:20 | λ:0.095 | Conf:0.66 | LR:9.14e-05
Ep 19 | B 40 | Src:11.49 | Psd:52.64 | PLs:23 | λ:0.095 | Conf:0.66 | LR:9.14e-05
Ep 19 | B 50 | Src:12.97 | Psd:51.18 | PLs:27 | λ:0.095 | Conf:0.66 | LR:9.14e-05
Ep 19 | B 60 | Src:10.73 | Psd:53.06 | PLs:24 | λ:0.095 | Conf:0.66 | LR:9.14e-05
Ep 19 | B 70 | Src:9.73 | Psd:50.78 | PLs:21 | λ:0.095 | Conf:0.66 | LR:9.14e-05
Ep 19 | B 80 | Src:13.59 | Psd:55.34 | PLs:25 | λ:0.095 | Conf:0.66 | LR:9.14e-05
Ep 19 | B 90 | Src:11.72 | Psd:50.43 | PLs:21 | λ:0.095 | Conf:0.66 | LR:9.14e-05
Ep 20 | B 0 | Src:10.96 | Psd:51.14 | PLs:21 | λ:0.100 | Conf:0.66 | LR:9.05e-05
Ep 20 | B 10 | Src:14.28 | Psd:49.17 | PLs:24 | λ:0.100 | Conf:0.66 | LR:9.05e-05
Ep 20 | B 20 | Src:11.38 | Psd:54.24 | PLs:25 | λ:0.100 | Conf:0.66 | LR:9.05e-05
Ep 20 | B 30 | Src:10.89 | Psd:46.89 | PLs:23 | λ:0.100 | Conf:0.66 | LR:9.05e-05
Ep 20 | B 40 | Src:11.65 | Psd:53.97 | PLs:23 | λ:0.100 | Conf:0.66 | LR:9.05e-05
Ep 20 | B 50 | Src:18.80 | Psd:48.79 | PLs:24 | λ:0.100 | Conf:0.66 | LR:9.05e-05
Ep 20 | B 60 | Src:14.44 | Psd:47.18 | PLs:25 | λ:0.100 | Conf:0.66 | LR:9.05e-05
Ep 20 | B 70 | Src:12.48 | Psd:54.46 | PLs:22 | λ:0.100 | Conf:0.66 | LR:9.05e-05
Ep 20 | B 80 | Src:13.58 | Psd:46.80 | PLs:23 | λ:0.100 | Conf:0.66 | LR:9.05e-05
Ep 20 | B 90 | Src:13.63 | Psd:54.82 | PLs:26 | λ:0.100 | Conf:0.66 | LR:9.05e-05
Ep 21 | B 0 | Src:14.48 | Psd:49.46 | PLs:24 | λ:0.100 | Conf:0.66 | LR:8.96e-05
Ep 21 | B 10 | Src:15.64 | Psd:50.29 | PLs:24 | λ:0.100 | Conf:0.66 | LR:8.96e-05
Ep 21 | B 20 | Src:16.83 | Psd:50.69 | PLs:21 | λ:0.100 | Conf:0.66 | LR:8.96e-05
Ep 21 | B 30 | Src:16.28 | Psd:51.20 | PLs:24 | λ:0.100 | Conf:0.66 | LR:8.96e-05
Ep 21 | B 40 | Src:10.43 | Psd:49.21 | PLs:19 | λ:0.100 | Conf:0.66 | LR:8.96e-05
Ep 21 | B 50 | Src:12.38 | Psd:49.10 | PLs:20 | λ:0.100 | Conf:0.66 | LR:8.96e-05
Ep 21 | B 60 | Src:10.36 | Psd:49.82 | PLs:21 | λ:0.100 | Conf:0.66 | LR:8.96e-05
